,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
248,10,RS11.23,23/05/2018,1334,1340,1350,10,IKR - ISUA,KM 23 ROUND ABOUT,KEY 181 AA & FFN N425 XA,JEEP & CAR,PVT & COM,NISSAN & TYT,PATH FINDER & PREVIA,,,,BFL &  LOC,3,0,0,0,3,0,1,0,0,1,10,3,0,0,13
249,11,RS11.23,28/05/2018,1428,1432,1452,20,IKR - OWO,0,FFF 370 WU & HIT & RUN,BIKE,COM,BOXERS,BAJAJ,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
250,12,RS11.23,29/05/2018,1310,1315,1325,10,IKR - ISUA,100M TO ARMY CHECK POINT,NO NOS & MUB 425 XA,JEEP & BUS,PVT & COM,RANGE ROVER & TYT,JEEP & HIACE,,,,SPV & WOV,5,1,0,0,6,14,2,0,0,16,19,3,0,0,22
252,1,RS11.24,09/05/2018,1305,1327,1338,11,OND - AKR,LANGBA JUCNTION,AKR 251 AE & NO NOS,CAR & BIKE,2 COM,NISSAN & DAYLONG,ALMERA & BIKE,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
254,1,RS11.25,02/05/2018,0900,0910,0920,10,IFON - OWO,KM 3 OPP MARYLAND,ABC 164 AG & FKJ 665 BY,TRL & CAR,2 COM,TRL & V/WAGEN,TRL & GOLF,,,,MDV,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
255,2,RS11.25,24/05/2018,1545,1552,1557,5,IFON - OWO,OMALAFA,SMK 321 FE,BUS,PVT,TYT,SIENNA,,,,TBT,3,0,0,0,3,0,1,0,0,1,5,6,0,0,11
266,1,RS11.2,23/03/2018,0515,0530,0549,19,AKR - OWO,KM 11 ILUABO,XE 464 BWR & AL 861 KJA,TRK & BUS,COM &  PVT,M/BENZ & TYT,TRK & SHARON,,,,LOC,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4
267,2,RS11.2,23/03/2018,1724,1729,1733,6,AKR - IPT,KM 2 FUTA GATE,KTU 741 XK & FUF 211 XA,P/UP & BUS,2 COM,TATA & FORD,P/UP & GALAXY,,,,SPV,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
268,3,RS11.2,30/03/2018,1000,1005,1008,3,AKR - OWO,KM 2 AGBOGBO ,AKR 588 VY & APP 469 QH,2 BIKE,2 COM,TVS & SUZUKI,2 BIKE,,,,SPV,1,1,0,0,2,0,0,0,0,0,2,1,0,0,3
269,4,RS11.2,31/03/2018,1422,1423,1425,2,AKR - T/SHIP,"KM 2 OPP ADESUPER HOTEL, OBA ADESIDA RD",FGB 755 AA,JEEP,PVT,M/BENZ,JEEP,,,,SPV & TBT,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
271,1,RS11.21,06/03/2018,1240,1224,1230,6,ORE - OND,KM 9 OMIFON,BRD 812 QF & QC 593 RLG,2 BIKE,2 COM,BAJAJ & SUZUKI,BOXERS & HAOJUE,,,,DOT & SPV,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
272,2,RS11.21,12/03/2018,1824,1840,1849,9,ORE - BEN,KM 26 FIRST BRIDGE ASEJIRE,EPE 335 CC,BUS,PVT,TYT,SIENNA,,,,BRD & SPV,7,3,0,1,11,0,0,0,0,0,7,3,0,2,12
273,3,RS11.21,24/03/2018,0620,0628,0642,14,ORE - OND,KM 3 B4 NNPC DEPORT,AKD 201 AQ & NO NOS,P/UP & BIKE,2 COM,TYT & BAJAJ,TACOMA & BOXERS,,,,DOT,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
274,4,RS11.21,24/03/2018,1845,1850,1855,5,ORE - LAG,KM 47 ADEWOLE AREA,FKJ 62 BU,CAR,PVT,V/WAGEN,GOLF,,,,SPV,1,2,0,0,3,0,0,0,0,0,2,2,0,0,4
275,5,RS11.21,24/03/2018,2205,2215,2230,15,ORE - BEN,KM 20 B4 ASEJIRE  BRIDGE,AKD 348 XC & KTP 377 XA,TNK & TRK,2 COM,MACK & FORD,TNK & TRK,,,,SPV & OBS,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
276,6,RS11.21,28/03/2018,1430,1432,1437,5,ORE - OND,KM 14 OMIFON,SMK 452 BP & NO NOS,JEEP & BIKE,PVT & COM,TYT & SUZUKI,HIGHLANDER & HAOJUE ,,,,DOT,1,1,0,0,2,0,0,0,0,0,4,1,0,0,5
278,1,RS11.22,07/03/2018,0825,0827,0832,5,OWO - AKR,KM 6 AMURIN FRM IKR JUCNT,KJA 227 XU,P/UP,COM,SUZUKI EVERY,P/UP,,,,BRD & SPV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
279,2,RS11.22,08/03/2018,0155,0645,0658,13,OWO - AKR,KM 17 USO AFTER AMURIN,GGE 951 EA & APP 985 DW,CAR & BUS,PVT & COM,2 TYT,CAMRY & SIENNA,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
